Name,Description,Type,Things to note:,Optional:,Time to spend:,Price,website,address,zipcode,other fields,keywords,secondary keyword,Opening and closing,neighborhood
Village Saint Paul,"Head south to Village Saint-Paul. It's a tiny island of silence in the bustling city, and its cafés do a mean chocolat à l'ancien: old-fashioned hot chocolate. Be sure to take a look at old walls of the city (built in 1190), just on the other side of some basketball courts. When you’re done, head to the Centre Pompidou.",explore,,"If you are a coffee person, treat yourself to a cup at the nearby Caféothèque de Paris (52 Rue de l’Hôtel de Ville).",Two hours,,http://www.levillagesaintpaul.com/,Rue Saint-Paul,75004,,off the beaten path,food,,marais
Pain Vin Fromage,resto fondue,restaurant,,,,,http://painvinfromages.com/,,,,food,,,marais
Centre Pompidou,modern & contemp art,museum,,,,,https://www.centrepompidou.fr/,,,,,,,marais
Maison Victor Hugo,Hugo's house in Place des Vosges,explore,,,,,http://maisonsvictorhugo.paris.fr/informations-pratiques/votre-visite-place-des-vosges-paris,,,,,,,marais
Musee de la magie,,museum,,,,,https://www.museedelamagie.com/h_pages/pratique1.html,,,,,,,marais
Musee d'art et d' histoire du judaisme,museum of judaism & the jewish community in france. Lots of pre-WWII history & culture.,museum,,,,,http://www.mahj.org/,,,,,,,marais

mariage freres/musee du the,Tea room & tiny free museum,store,,,,free,https://www.mariagefreres.com/FR/restaurant_salon_de_the_marais_bourg_tibourg.html,30 rue du bourg-tibourg,75003,,,,,
Bibliothèque fourney,Old hotel particulier (looks very pretty),explore,,,,free,https://www.paris.fr/equipements/bibliotheque-forney-18,1 rue du Figuier,75004,,,,,marais
Rue Mouffetard,coffee & food,explore,,,,,https://en.wikipedia.org/wiki/Rue_Mouffetard,rue mouffetard,75005,,,,,quartier latin-est
Arènes de Lutèce,Old roman arena,explore,,,,free,https://www.parisinfo.com/musee-monument-paris/71451/Arenes-de-Lutece-et-square-Capitan,49 rue monge,75005,,,,,quartier latin-est
Grandes Serres du Jardin des Plantes,Greenhouse,park,,,,7,http://www.jardindesplantes.net/fr/preparez-votre-visite/jardins/grandes-serres-jardin-plantes,Allée Jussieu,75005,,,,,quartier latin-est
Notre dame/ marche du noel,,explore,,,,,https://www.marches-noel.org/marche-de-noel-de-paris-notre-dame/,67-52 Quai de Montebello,75005,,,,,
cluny museum,,museum,,,,,http://www.musee-moyenage.fr/,6 place Paul Painlevé,75005,,,,,quartier latin-ouest
Caveau de la huchette,jazz,bar,,,,,http://www.caveaudelahuchette.fr/,5 Rue de la Huchette,75005,,,,,quartier latin-ouest
Parc de belleville,,park,,,,free,https://www.paris.fr/equipements/parc-de-belleville-1777,47 Rue des Couronnes,75020,,,,,belleville
,,,,,,,,,,,,,,
la bellevilleoise,,bar,,,,?,https://www.labellevilloise.com/,19-21 Rue Boyer,75020,,,,,belleville
pere lachaise,,park,,,,free,http://www.pere-lachaise.com/perelachaise.htm,16 Rue du Repos,75020,,,,8-1800,belleville
Blé Sucré,"Their pastries are so good! We recommend getting a brioche studded with raspberries & a large coffee to dunk it in. If you have a sweet tooth, try a chausson aux pommes, an apple turnover.",boulangerie,,,Thirty Minutes,,https://www.tripadvisor.com/Restaurant_Review-g187147-d3686910-Reviews-Ble_Sucre-Paris_Ile_de_France.html,7 Rue Antoine Vollon,75012,,,,07:00 - 19:30,
