Name,Description,Type,Price,Price Range(0-4),address,Day Part,zipcode,website,Things to note:,Optional:,Time to spend:,other fields,keywords,secondary keyword,Opening and closing,neighborhood
Village Saint Paul,"Head south to Village Saint-Paul. It's a tiny island of silence in the bustling city, and its cafés do a mean chocolat à l'ancien: old-fashioned hot chocolate. Be sure to take a look at old walls of the city (built in 1190), just on the other side of some basketball courts. When you’re done, head to the Centre Pompidou.",explore,,2,Rue Saint-Paul,"morning,afternoon",75004,http://www.levillagesaintpaul.com/,,"If you are a coffee person, treat yourself to a cup at the nearby Caféothèque de Paris (52 Rue de l’Hôtel de Ville).",Two hours,,off the beaten path,food,,marais
Pain Vin Fromage,"Come here and get some of the best things from french cuisine. Bread, Wine and Cheese. This fondu restaurant offers the golden trinity of french cuisine.",restaurant,,1,,evening,,http://painvinfromages.com/,,,,,food,,,marais
Centre Pompidou,"Center for modern arts in Paris, it houses the Bibliothèque publique d'information and regularly changes exhibits.",museum,12,,,"morning,afternoon",75003,https://www.centrepompidou.fr/,,,,,,,,marais
Maison Victor Hugo,Hugo's house in Place des Vosges,explore,0,,,"morning,afternoon",,http://maisonsvictorhugo.paris.fr/informations-pratiques/votre-visite-place-des-vosges-paris,,,,,,,,marais
Musee de la magie,"Also known as the Musée de la Curiosité et de la Magie and the Académie de la Magie, it is a private museum that exhibits optical illusions, secret boxes, wind-up toys, magic mirrors, see-through glasses, posters",museum,14,,,"morning,afternoon",,https://www.museedelamagie.com/h_pages/pratique1.html,,,,,,,,marais
Musee d'art et d' histoire du judaisme,museum of judaism & the jewish community in france. Lots of pre-WWII history & culture.,museum,10,,,"morning,afternoon",,http://www.mahj.org/,,,,,,,,marais
mariage freres/musee du the,Tea room & tiny free museum,store,0,,30 rue du bourg-tibourg,"morning,afternoon",75003,https://www.mariagefreres.com/FR/restaurant_salon_de_the_marais_bourg_tibourg.html,,,,,,,,
Bibliothèque fourney,Old hotel particulier (looks very pretty),explore,0,,1 rue du Figuier,"morning,afternoon",75004,https://www.paris.fr/equipements/bibliotheque-forney-18,,,,,,,,marais
Rue Mouffetard,"Come see one of the hippest roads in Paris. Perfect for a stroll, buy chocolates or stop for a coffee at a cute corner cafe.",explore,,3,rue mouffetard,"morning,afternoon",75005,https://en.wikipedia.org/wiki/Rue_Mouffetard,,,,,,,,quartier latin-est
Arènes de Lutèce,"The Arènes de Lutèce is among the most important ancient Roman remains from the era in Paris, together with the Thermes de Cluny. Constructed in the 1st century AD, this theatre could once seat 15,000 people and was used also as an amphitheatre to show gladiatorial combats.",explore,0,,49 rue monge,"morning,afternoon",75005,https://www.parisinfo.com/musee-monument-paris/71451/Arenes-de-Lutece-et-square-Capitan,,,,,,,,quartier latin-est
